gid,actual_price,rsi,ma25_distance,predicted_action
861982,81378.8,73.1,93.79,BEARISH_DRIFT
861991,81349.8365,67.34,67.43,BEARISH_DRIFT
862000,81333.3996,68.14,31.71,BEARISH_DRIFT
862008,81366.75,63.47,-0.12,BEARISH_DRIFT
862017,81451.5407,60.57,46.5,BULLISH_DRIFT
862025,81480.0243,65.84,102.35,BEARISH_DRIFT
862034,81547.8975,73.59,152.55,BEARISH_DRIFT
862042,81624.8202,75.91,183.95,BEARISH_DRIFT
862051,81676.9026,79.61,268.5,BEARISH_DRIFT
862059,81704.0971,79.5,257.53,BEARISH_DRIFT
862068,81697.8654,74.91,238.6,BEARISH_DRIFT
862076,81764.3469,83.83,249.68,BEARISH_DRIFT
862085,81678.1323,87.4,281.63,BEARISH_DRIFT
862093,81797.6268,85.62,191.84,BEARISH_DRIFT
862102,81724.2981,87.41,248.27,BEARISH_DRIFT
862110,81826.3336,76.85,165.36,BEARISH_DRIFT
862119,81781.7298,73.93,212.9,BEARISH_DRIFT
862127,81805.343,71.24,167.03,BEARISH_DRIFT
862136,81816.0705,70.59,182.96,BEARISH_DRIFT
862144,81816.463,62.34,187.13,BULLISH_DRIFT
862153,81802.2338,64.85,174.77,BULLISH_DRIFT
862161,81797.89,57.59,106.51,BULLISH_DRIFT
862170,81733.3285,45.79,54.25,BULLISH_DRIFT
862178,81828.21,51.12,22.35,BULLISH_DRIFT
862187,81804.8403,59.79,62.23,BULLISH_DRIFT
862195,81837.11,64.89,62.62,BULLISH_DRIFT
862204,81873.649,56.44,84.16,BULLISH_DRIFT
862212,81837.2107,63.62,81.66,BULLISH_DRIFT
862221,81881.87,57.74,54.31,BULLISH_DRIFT
862229,81813.1784,56.53,74.38,BULLISH_DRIFT
862238,81849.4991,52.72,16.52,BULLISH_DRIFT
862246,81766.0022,49.0,7.92,BULLISH_DRIFT
862255,81760.5705,47.18,-43.15,BEARISH_DRIFT
862263,81587.2755,43.54,-73.83,BEARISH_DRIFT
862272,81575.1378,31.59,-244.43,BULLISH_DRIFT
862280,81632.3632,23.67,-226.1,BULLISH_DRIFT
862289,81602.433,33.02,-185.69,BULLISH_DRIFT
862297,81680.7005,28.35,-172.35,BULLISH_DRIFT
862306,81700.93,39.74,-54.41,BEARISH_DRIFT
862314,81631.2429,36.87,-91.72,BEARISH_DRIFT
862323,81634.5291,33.74,-122.18,BULLISH_DRIFT
862331,81595.6701,33.55,-144.63,BULLISH_DRIFT
862340,81618.2599,31.87,-154.78,BULLISH_DRIFT
862348,81607,38.06,-119.69,BEARISH_DRIFT
862357,81591.4357,41.78,-121.37,BEARISH_DRIFT
862365,81570.64,49.14,-102.87,BEARISH_DRIFT
862374,81592.6998,52.19,-124.22,BEARISH_DRIFT
862382,81549.4165,43.31,-125.18,BEARISH_DRIFT
862391,81445.8028,38.09,-152.78,BEARISH_DRIFT
862400,81443.36,14.05,-196.36,BULLISH_DRIFT
862409,81480.2386,21.78,-189.3,BULLISH_DRIFT
862417,81509.2553,28.58,-123.41,BULLISH_DRIFT
862426,81416.0899,31.36,-97.29,BULLISH_DRIFT
862434,81396.74,26.65,-167.63,BULLISH_DRIFT
862443,81349.7463,20.81,-186.22,BULLISH_DRIFT
862451,81390.7664,19.9,-222.87,BULLISH_DRIFT
862460,81478.9576,26.68,-155.57,BULLISH_DRIFT
862468,81437.249,37.26,-72.03,BEARISH_DRIFT
862477,81482.76,41.2,-93.67,BEARISH_DRIFT
862485,81490.5569,50.41,-37.62,BEARISH_DRIFT
862494,81590.391,55.22,-31.46,BEARISH_DRIFT
862502,81641.92,66.31,66.32,BEARISH_DRIFT
862511,81568.4322,62.24,92.15,BULLISH_DRIFT
862519,81577.389,59.03,48.81,BULLISH_DRIFT
862528,81613.9764,68.3,73.65,BEARISH_DRIFT
862536,81597.9,75.05,84.8,BEARISH_DRIFT
862545,81586.8673,67.92,42.07,BEARISH_DRIFT
862553,81592.87,67.92,71.61,BEARISH_DRIFT
862562,81616.07,64.23,66.7,BULLISH_DRIFT
862570,81570.62,65.61,44.93,BEARISH_DRIFT
862579,81591.7947,61.1,6.58,BULLISH_DRIFT
862587,81614.6721,63.79,44.73,BULLISH_DRIFT
862596,81585.9192,49.11,52.46,BULLISH_DRIFT
862604,81630.9083,51.36,12.5,BULLISH_DRIFT
862613,81621.82,58.0,35.58,BULLISH_DRIFT
862621,81680.45,56.14,43.5,BULLISH_DRIFT
862630,81679.0057,60.32,87.72,BULLISH_DRIFT
